course_id,title,description,skill_id,difficulty,prerequisites,duration_hours,resource_type,provider,url,rating,tags
20,Inferential Statistics & Hypothesis Testing,Master p-values confidence intervals t-tests ANOVA and chi-square tests.,5,2,[19],8.0,Video,YouTube (StatQuest),https://www.youtube.com/watch?v=0oc49DyA3hU,4.9,statistics hypothesis-testing p-value
21,Applied Regression & Correlation Analysis,Learn linear regression multiple regression log transformation and correlation metrics.,5,3,[20],7.0,Video,YouTube (StatQuest),https://www.youtube.com/watch?v=nk2CQITm_eo,4.8,statistics regression correlation
22,Probability Theory & Bayes Theorem,Clear guide to conditional probability Bayes rule and random variables.,5,2,[19],3.0,Tutorial,YouTube (3Blue1Brown),https://www.youtube.com/watch?v=HZGCoVF3YvM,5.0,statistics bayes probability video
23,Data Visualization with Matplotlib & Seaborn,Create line plots bar charts histograms scatter plots and heatmaps in Python.,6,2,[15],5.0,Video,YouTube (freeCodeCamp),https://www.youtube.com/watch?v=UO98lJQ3QGI,4.8,visualization matplotlib seaborn python
24,Interactive Dashboards with Plotly & Dash,Build interactive browser visualizations sliders tooltips and web dashboards.,6,3,[23],8.0,Video,YouTube (Charming Data),https://www.youtube.com/watch?v=hSPmj7mK6ng,4.8,visualization plotly interactive dash
25,Data Storytelling & Chart Choice Best Practices,Learn visual hierarchy color theory chart selection and presentation skills.,6,1,[],3.0,Video,YouTube (Storytelling with Data),https://www.youtube.com/watch?v=8EMW7io4rSI,4.7,visualization storytelling chart-design
26,Seaborn Customization Guide,Tutorial on styling color palettes facets and pairplots in Seaborn.,6,2,[23],2.0,Tutorial,YouTube (Derek Banas),https://www.youtube.com/watch?v=6GUZXDef2U0,4.7,visualization seaborn documentation
27,Power BI Desktop Beginner to Pro,Connect data sources build data models construct reports and publish dashboards.,7,1,[],8.0,Video,YouTube (freeCodeCamp),https://www.youtube.com/watch?v=3u7UDbXtzhQ,4.9,powerbi bi dashboards desktop
28,DAX Formulas & Data Modeling in Power BI,Master Data Analysis Expressions DAX measures calculated columns and relationships.,7,2,[27],9.0,Video,YouTube (Avi Singh),https://www.youtube.com/watch?v=pWj_kE5YxHY,4.8,powerbi dax data-modeling
29,Power BI Advanced Analytics & Service,Learn Power BI Service scheduled refresh row-level security and DAX patterns.,7,3,[28],6.0,Video,YouTube (Curbal),https://www.youtube.com/watch?v=AGrl-H87pRU,4.7,powerbi advanced security dax
30,Power BI Quickstart Tutorial,Get started with your first Power BI report in 30 minutes.,7,1,[],0.5,Video,YouTube (Kevin Stratvert),https://www.youtube.com/watch?v=yKTSLffVGbk,4.8,powerbi video quickstart
31,Machine Learning Specialization by Andrew Ng,Master supervised learning regression classification decision trees and evaluation metrics.,8,2,"[10, 15, 19]",20.0,Video,YouTube (freeCodeCamp),https://www.youtube.com/watch?v=i_LwzRVP7bg,4.9,ml machine-learning regression classification scikit-learn
32,Applied Machine Learning with Scikit-Learn,Practical ML pipeline creation feature engineering hyperparameter tuning and cross-validation.,8,3,[31],12.0,Video,YouTube (freeCodeCamp),https://www.youtube.com/watch?v=pqNCD_5r0IU,4.8,ml scikit-learn hyperparameters pipeline
33,Unsupervised Learning & Clustering Algorithms,Understand K-Means hierarchical clustering PCA dimensionality reduction and anomaly detection.,8,3,[31],8.0,Video,YouTube (StatQuest),https://www.youtube.com/watch?v=4b5d3muPQmA,4.9,ml kmeans pca clustering
34,Machine Learning Evaluation Metrics Explained,In-depth guide to Precision Recall F1 Score ROC-AUC curve and Confusion Matrix.,8,2,[31],2.0,Tutorial,YouTube (StatQuest),https://www.youtube.com/watch?v=wpNl-JgiSio,4.9,ml metrics precision-recall tutorial
35,Machine Learning Interview Practice Questions,Top ML conceptual questions model selection overfitting bias-variance tradeoff.,8,3,[32],3.0,Video,YouTube (Krish Naik),https://www.youtube.com/watch?v=Zf_x5g_mC7A,4.7,ml quiz interview-prep
36,Deep Learning & Neural Networks Foundations,Understand forward propagation backpropagation activation functions and loss optimization.,9,3,[31],15.0,Video,YouTube (3Blue1Brown),https://www.youtube.com/watch?v=aircAruvnKk,5.0,deep-learning neural-networks pytorch tensorflow
37,Convolutional Neural Networks for Computer Vision,Build CNN architectures image classification object detection and transfer learning.,9,4,[36],12.0,Video,YouTube (freeCodeCamp),https://www.youtube.com/watch?v=IA3WxTTPXqQ,4.8,deep-learning cnn computer-vision pytorch
38,Natural Language Processing with Transformers,Master RNNs LSTMs Attention mechanism BERT and HuggingFace Transformers.,9,4,[36],14.0,Video,YouTube (Andrej Karpathy),https://www.youtube.com/watch?v=kCc8FmEb1nY,5.0,deep-learning nlp transformers huggingface
39,PyTorch Quickstart for Deep Learning,Hands-on guide to building tensors autograd neural network modules in PyTorch.,9,3,[31],4.0,Tutorial,YouTube (freeCodeCamp),https://www.youtube.com/watch?v=V_xro1bcAuA,4.9,deep-learning pytorch tutorial
40,HTML5 & CSS3 Responsive Web Design,Learn semantic HTML tags CSS flexbox CSS grid media queries and mobile layouts.,10,1,[],6.0,Video,YouTube (freeCodeCamp),https://www.youtube.com/watch?v=mU6anWqZJcc,4.9,html css web-design flexbox grid
41,Modern CSS Layouts & Animations,Master CSS transitions keyframe animations TailwindCSS basics and modern layout utilities.,10,2,[40],5.0,Video,YouTube (Traversy Media),https://www.youtube.com/watch?v=JJSoEo8JSnc,4.8,css flexbox grid animation tailwind
42,HTML5 Semantic Tags & Accessibility,Best practices for web accessibility ARIA roles SEO and semantic web structure.,10,1,[],2.0,Video,YouTube (Kevin Powell),https://www.youtube.com/watch?v=z8xUCzToff8,4.9,html accessibility mdn documentation
43,JavaScript Basics for Beginners,Learn variables data types arrays loops functions and DOM manipulation.,11,1,[40],8.0,Video,YouTube (Mosh),https://www.youtube.com/watch?v=W6NZfCO5SIk,4.9,javascript js programming dom beginner
44,Modern ES6+ JavaScript & Async Programming,Master promises async await arrow functions destructuring modules and fetch API.,11,2,[43],10.0,Video,YouTube (freeCodeCamp),https://www.youtube.com/watch?v=PkZNo7MFNFg,4.9,javascript es6 async promises api
45,JavaScript DOM Manipulation Crash Course,Interactive tutorial building dynamic web pages by selecting and updating DOM nodes.,11,1,[40],2.5,Video,YouTube (Traversy Media),https://www.youtube.com/watch?v=0ik6X4DJKCc,4.9,javascript dom video tutorial
46,React Fundamentals: Components & State,Learn React functional components JSX props useState hook and event handling.,12,2,[44],10.0,Video,YouTube (freeCodeCamp),https://www.youtube.com/watch?v=bMknfKXIFA8,4.9,react frontend components hooks jsx
47,Advanced React: useEffect Context & Redux,Master side effects custom hooks context API global state management and routing.,12,3,[46],12.0,Video,YouTube (Dave Gray),https://www.youtube.com/watch?v=RVFAyFWO4go,4.8,react state-management hooks redux context
48,React Hooks Cheatsheet & Patterns,Quick reference guide to useState useEffect useMemo useCallback and useRef.,12,2,[46],2.0,Tutorial,YouTube (Web Dev Simplified),https://www.youtube.com/watch?v=TNhaISOUy6Q,4.9,react hooks documentation cheatsheet
49,Computer Networking & Network Security Fundamentals,Learn OSI model TCP/IP firewalls VPNs routers packet filtering and encryption.,13,1,[],8.0,Video,YouTube (freeCodeCamp),https://www.youtube.com/watch?v=qiQR5rTSshw,4.9,networking security osi tcpip firewall
50,Network Penetration Testing & Packet Analysis,Master Wireshark Nmap network sniffing port scanning and traffic analysis.,13,2,[49],10.0,Video,YouTube (freeCodeCamp),https://www.youtube.com/watch?v=3Kq1MIfTWCE,4.8,networking wireshark nmap pentesting
51,Ethical Hacking & Vulnerability Assessment,Learn system vulnerabilities exploitation basics OWASP Top 10 and security auditing.,14,2,[49],12.0,Video,YouTube (freeCodeCamp),https://www.youtube.com/watch?v=fNzpcB7ODxQ,4.9,hacking cybersecurity owasp vulnerabilities
52,Git & GitHub Version Control Masterclass,Master git init commit branch merge pull requests merge conflicts and GitHub workflows.,15,1,[],4.0,Video,YouTube (freeCodeCamp),https://www.youtube.com/watch?v=RGOj5yH7evk,4.9,git github version-control workflow
53,Git Branching Strategies & Team Workflows,Learn Gitflow feature branching interactive rebase and pull request code reviews.,15,2,[52],3.0,Tutorial,YouTube (Fireship),https://www.youtube.com/watch?v=HkdAHXoRtos,4.9,git branching rebase workflow
